IDCliente;Cliente;Estado;Sexo;Status
1;Adelina Buenaventura;RJ;M;Silver
2;Adelino Gago;RJ;M;Silver
3;Adolfo Patrício;PE;M;Silver
4;Adriana Guedelha;RO;F;Platinum
5;Adélio Lisboa;SE;M;Silver
6;Adérito Bahía;MA;M;Silver
7;Aida Dorneles;RN;F;Silver
8;Alarico Quinterno;AC;M;Silver
9;Alberto Cezimbra;AM;M;Silver
10;Alberto Monsanto;RN;M;Gold
11;Albino Canela;AC;M;Silver
12;Alceste Varanda;RR;F;Silver
13;Alcides Carvalhais;RO;M;Silver
14;Aldo Martins;GO;M;Silver
15;Alexandra Tabares;MG;F;Silver
16;Alfredo Cotrim;SC;M;Silver
17;Almeno Figueira;SC;M;Silver
18;Alvito Peralta;AM;M;Silver
19;Amadeu Martinho;RN;M;Silver
20;Amélia Estévez;PE;F;Silver
21;Ana Homem;RN;F;Silver
22;Ana Peseiro;PA;F;Silver
23;Anacleto Garrau;TO;M;Silver
24;Anacleto Guterres;PI;M;Silver
25;Andreia Carvalhal;SP;F;Silver
26;Anita Beserra;PE;F;Silver
27;Anna Beça;AP;F;Silver
28;Anna Carvajal;RS;F;Gold
29;Anselmo Dinis;PA;M;Silver
30;Antero Milheiro;AP;M;Silver
31;Antão Corte-Real;ES;M;Silver
32;Antónia Canhão;SC;F;Silver
33;António Lousado;RS;M;Silver
34;Antônio Leiria;AL;M;Silver
35;Antônio Sobral;AC;M;Silver
36;Aníbal Bastos;CE;M;Silver
37;Apuã Ourique;AL;M;Silver
38;Arachane Matos;MA;F;Silver
39;Arcidres Murici;TO;M;Silver
40;Armindo Castilhos;RR;M;Silver
41;Armindo Moreira;ES;M;Silver
42;Artur Macedo;SE;M;Silver
43;Artur Peña;RJ;M;Silver
44;Aurélio Barrios;PI;M;Silver
45;Bartolomeu Vila-Chã;TO;M;Silver
46;Basilio Soares;AC;M;Silver
47;Belmira Colaço;RJ;F;Silver
48;Belmiro Marroquim;SC;M;Silver
49;Bento Quintão;SP;M;Gold
50;Berengária Iglesias;BA;F;Silver
51;Bernardete Querino;PI;F;Silver
52;Bernardete Tavera;ES;F;Silver
53;Bernardete Águeda;TO;F;Silver
54;Brenda Serralheiro;PA;F;Silver
